frame,x,y,area
0,277.846911570735,216.96233828192968,35633.0
1,270.7675760461599,213.48000112038542,35702.0
2,263.00892022540927,211.0575808562348,37443.0
3,225.50340193551114,219.10649537252252,23663.0
4,224.72604523943906,214.9198107063778,23033.0
5,225.2622869955157,213.12121076233183,22300.0
6,225.0610356459112,211.8387273224542,21938.0
7,225.444799270073,212.31259124087592,21920.0
8,226.64358092404945,214.66059310216602,21514.0
9,227.90757009345793,216.06102803738318,21400.0
10,229.41740467978,215.95194369348374,21454.0
11,228.98527584778907,216.28413012469517,21733.0
12,227.32831104597912,217.68638944861695,21836.0
13,224.6197851262732,218.89070275801126,21501.0
14,222.42559201544182,220.3207476107528,21241.0
15,221.80417978814774,221.89063841969653,20958.0
16,221.90462510772767,222.84142487790865,20886.0
17,223.35537893840475,224.28976251300975,21138.0
18,225.1885529875184,225.51445114137914,21071.0
19,227.15801365027065,226.5519416333255,21245.0
20,229.93977895333458,227.61647458907993,21172.0
21,233.95643723928706,229.12286689419795,21096.0
22,238.77270328615975,230.7353322139602,20845.0
23,243.7178357672971,231.6198228393584,20885.0
24,249.249889364213,232.17303437085116,20337.0
25,254.02047275244783,233.88398773612897,20222.0
26,255.92086616124078,234.60418215152868,20181.0
27,255.46681514476614,234.8628062360802,20205.0
28,253.15000740411668,234.7764450367738,20259.0
29,251.57701125999898,221.79981657920212,19627.0
30,195.3229986613119,248.64203480589023,37350.0
31,194.4815999569904,248.0181715545281,37201.0
32,194.46343434343433,247.83849158249157,37125.0
33,193.86661986661986,247.2996462996463,37037.0
34,193.35231076557608,248.31503077421445,37044.0
35,191.8102027970114,247.0616875119735,36539.0
36,190.86921985041218,247.63290931921165,36634.0
37,190.2606758874804,248.11958643825446,36367.0
38,190.0381931897151,249.59802640722725,35975.0
39,188.48771293330688,249.50293359031772,35281.0
40,187.02833119566768,249.6084936582585,35085.0
41,184.94352388051144,247.8303709649676,34882.0
42,183.0207827799823,247.08709926061263,35029.0
43,180.23109468874284,245.2446337404451,35453.0
44,176.30317869172634,243.91681055223754,35329.0
45,172.11786329695576,243.83385985066053,34820.0
46,169.18862942971134,242.68114879136354,34088.0
47,164.80433943783206,243.50238936214419,33691.0
48,159.95315277942396,243.02545336019912,33748.0
49,154.7194878421238,243.24750381769059,34052.0
50,150.12051475276795,243.1657005390992,34502.0
51,148.2901741328864,244.06610232082494,35203.0
52,148.2881327754842,241.08093430495137,36091.0
53,149.8173204472238,240.51284550204392,36939.0
54,151.57544355053545,241.0914539932868,37538.0
55,154.21538903094506,238.81735636382612,38326.0
56,214.32792383425294,169.99707887049658,9243.0
57,208.55237091675448,171.74394099051634,9490.0
58,204.62730443447933,176.77339312406576,10035.0
