frame,x,y,area
59,195.75010940919037,166.59474835886215,9140.0
60,193.47559038441173,167.06862225987504,9443.0
61,188.76186846689896,162.68162020905925,9184.0
62,185.66745920242084,162.55603588025505,9253.0
63,182.97470331043098,164.2692067457839,9606.0
64,178.91868181306938,158.57192666741648,8891.0
65,176.3099395567495,158.74792925901053,8934.0
66,174.5004433606739,158.65273775216139,9022.0
67,173.1687979539642,159.98921383298122,8993.0
68,171.7736158130392,161.7290597357213,9157.0
69,169.41910100247924,163.90923790018326,9277.0
70,166.58386889460155,165.02902742073692,9336.0
71,164.18585646935568,171.24044002095337,9545.0
72,161.95297805642633,170.1514106583072,9570.0
73,158.2891173775832,168.40425531914894,9823.0
74,157.7930999389375,169.4715041726033,9826.0
75,157.9641497461929,168.62542301184433,9456.0
76,157.9763136119156,172.47983036822507,9668.0
77,154.39599828803767,169.78750267494115,9346.0
78,152.7322644870586,170.86911872576758,9543.0
79,151.1861528412802,166.96984541693882,9186.0
80,153.8590434304563,166.5768004398021,9095.0
81,154.46810207336523,166.6119417862839,10032.0
82,154.81781119768073,172.4994564232651,11038.0
83,156.22082897944966,171.62452107279694,11484.0
84,157.97446626814687,174.28599487617421,11710.0
85,158.58045783538125,181.09417606463558,11882.0
86,164.10329688535455,175.44060636182903,12072.0
87,167.72244537275066,179.18332262210797,12448.0
88,175.19519719836572,178.9031101475861,11993.0
89,297.80940892641735,220.9908021712907,33160.0
90,295.9911829306558,220.54794477565108,31870.0
91,289.36577232075183,218.77623162043352,32985.0
92,285.09722794420577,213.70022364781354,33982.0
93,286.6655341317704,207.95823777570146,35319.0
94,286.15140817240564,203.5992043628316,37957.0
95,283.7657835840316,207.46663717274762,38426.0
96,281.5363926134717,208.40365111561866,37961.0
97,283.0520157803718,209.69112083873756,37008.0
98,278.1691191763727,212.5192127703827,38464.0
99,274.41055304001884,217.812390399665,38207.0
100,273.05795231567345,218.58024890465822,37203.0
101,267.0154833001548,219.88481530634814,36168.0
102,267.0706849913932,222.1389382223558,36599.0
103,260.63979835357844,223.56959751159735,37293.0
104,254.4787382176521,230.04573693230506,37344.0
105,253.76209625778029,230.23180758689583,39041.0
106,253.12805651600706,230.6630680828835,40201.0
107,254.40752626824514,228.9844292302572,42066.0
108,256.67396610642305,227.98056582281424,43017.0
109,258.455442617732,223.31336835163836,43977.0
110,260.91575257265634,220.52751328734593,44215.0
111,262.4604958452527,220.20984879444217,44046.0
112,262.16609425013434,220.91310950678724,42801.0
113,259.0679445449066,225.15269439421337,41475.0
114,254.63673016832982,230.1800725733293,39684.0
115,247.60768741249842,229.615578465063,39285.0
116,239.29235785080854,225.37433489827856,38340.0
117,318.74165602772206,160.45267189494803,10966.0
118,320.1669406542824,167.56657899062964,12166.0
119,323.164167853254,167.58740263003602,11939.0
120,322.2755859045692,170.13370426572249,11862.0
121,322.857512089378,172.5791228947807,11994.0
122,322.6803952503529,175.36336461014696,12043.0
123,321.314221331998,175.84059422467033,11982.0
124,319.82664202922894,175.6211993952629,11906.0
125,319.3721190230478,175.29024767801857,11628.0
