frame,x,y
0,277.8767824583836,216.82124032109115
1,270.77748038632564,213.43882705034883
2,262.99215850350237,210.97245353812102
3,225.44043826416393,218.72735491648012
4,224.71727092411942,214.5486687164967
5,225.23814302875476,212.91838875963688
6,225.02154529073766,211.63106202971176
7,225.5955514076839,212.00427749261158
8,226.71101366832582,214.48689262858497
9,227.94616380371505,215.7730842843415
10,229.5075689199246,215.88835051383145
11,229.05169298636693,216.14798476351376
12,227.4314395357544,217.31891145638338
13,224.69301947025727,218.78163126619884
14,222.45656691604322,220.17249344587248
15,221.87087934361367,221.77281055925798
16,222.00871284229024,222.7698052423488
17,223.29766803840877,223.97374437465405
18,225.13434460734504,224.98332284963143
19,227.25591661459083,226.2996843403996
20,230.0576723534664,227.38894653443046
21,234.06188160727677,229.01194248897275
22,238.83160193265053,230.5943959652253
23,243.66552082825424,231.22447055764133
24,249.1765940960332,231.88250389515164
25,254.11871408499286,233.6935308816477
26,256.0159973057169,234.48583817462318
27,255.564927521592,234.57155243530815
28,253.1659459278255,234.4864065302291
29,253.46606048818438,221.45783493792342
30,195.44488601187223,247.99589387814558
31,194.55790627569198,247.5051566639262
32,194.4945166698733,247.32718577357556
33,197.543618686769,245.57974503690255
34,196.86383440829013,246.5290721957696
35,195.02123606508994,245.43604809751864
36,191.0066908874938,247.08942218015284
37,193.42100147156108,246.3320462799206
38,190.27090941690494,249.1718427087167
39,188.61698185842835,249.06109908089118
40,187.210782532878,249.0349729952287
41,187.01833754202747,246.32011755810137
42,183.1010092175527,246.41134968878004
43,181.27169498353118,243.9557877775408
44,176.9719190035621,242.69752085873432
45,172.48137533023328,242.75176693085328
46,169.67331813282067,241.6062520801355
47,164.94340366193768,242.45837375207145
48,160.10134589366126,241.86837402314168
49,154.8161438791335,242.21750462754514
50,150.1483638339384,242.07995850929836
51,148.38934997098085,243.0305426581544
52,148.2742945008089,240.06304330394832
53,149.7630790780828,239.55086487333313
54,151.4773824253219,240.05784805594453
55,154.04592312405103,237.9301696811486
56,213.83264154378298,170.7554705989441
57,208.46698293254812,171.44909755166586
58,204.3975928508704,176.3120856793567
59,195.555192549616,166.6204021855461
60,193.53742712225412,167.16205483655528
61,188.80678104575162,162.6661281937017
62,185.70528466508367,162.6004196808217
63,183.0145229323509,164.16827735953154
64,178.97175952517708,158.7115450890293
65,176.28738130648668,158.67776379514166
66,174.52112542809027,158.60121851999014
67,173.1999505355478,159.9425261115233
68,171.80581603036393,161.84935253404777
69,169.44056200590617,164.03250243034537
70,166.6525564499936,165.1287808261687
71,164.28452483491242,171.2044573643411
72,162.0070451424189,170.1584354433089
73,158.553963907029,168.50286145635837
74,157.88190436212264,169.39266099975512
75,157.9243493683715,168.55827632388605
76,158.00928193660596,172.28772228729636
77,154.49526894708904,169.87924376361207
78,152.81153457485203,170.92989389346036
79,151.40865313104268,167.33156700877583
80,153.9002285563174,166.41302582119718
81,154.57118765331154,166.80071204687926
82,154.87686561405133,172.29538053124662
83,156.13888888888889,171.27612660003507
84,158.1243510542649,174.15409379622378
85,158.59570631172176,181.09411764705882
86,164.01037012056318,174.99720372087793
87,167.74904365358853,179.2339699769372
88,175.1943453787651,178.9554419284149
89,297.56189981038597,220.23680347421862
90,295.4384407544398,219.68896408803545
91,289.3611965204493,218.0730211214289
92,285.0005045963229,212.91165567545963
93,286.59277404728283,207.01363631997077
94,286.0632903482107,202.81809213903432
95,283.6951078667336,206.7178273250637
96,281.6471590732113,208.4525637089346
97,282.8551903662456,209.24667028837882
98,277.94844217375163,211.6217986506845
99,274.38115272470674,217.08503197575078
100,272.9992389129672,217.88714492099734
101,266.94297524146947,219.26701065230736
102,261.6188309534956,222.02621722846442
103,256.618242956851,223.41658895890436
104,254.1226999113056,228.8718298508403
105,253.0413619645641,228.82228222951497
106,252.62009354019463,229.25602018322476
107,254.0814806746622,227.99559073287423
108,256.3092735922744,226.82037444673247
109,258.13218443874996,222.466141083947
110,260.6607291486872,219.81846460694626
111,262.17426843977347,219.37232939224228
112,261.99391973254745,220.3731264061856
113,261.36850086229583,226.6048209999489
114,256.45434058152125,230.64536782471046
115,248.60127681068985,229.33185617202986
116,239.16853461774264,225.1370948178141
117,317.7407101316192,162.6079736761555
118,320.07622570655906,167.81414379194865
119,322.92202998846597,167.31027970011533
120,322.15427571141294,169.94579228332103
121,322.7679245012406,172.238787774479
122,322.5926386684398,175.02349391560492
123,321.2915251322183,175.55907182067045
124,319.75078030171665,175.33580428876942
125,319.2944432145229,174.96065235038003
